# plot-time, real-time,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.005, 0.005, -9.65442e-10, 9.90771e-24, 9.92026e-24, 1.59992e-08, 5.63396e-09, 5.63396e-09, -5.86339e-23, -5.90986e-23, 7.06671e-27
0.0124469, 0.0124469, 5.63321e-09, 3.88228e-24, 3.91592e-24, -8.99683e-08, -3.44325e-08, -3.44325e-08, -1.17434e-22, -1.16622e-22, 2.3786e-25
0.0173992, 0.0173992, 5.56618e-09, -5.28336e-23, -5.30893e-23, -9.18912e-08, -3.13944e-08, -3.13944e-08, 1.82966e-22, 1.85043e-22, -2.11022e-25
0.0223498, 0.0223498, 1.41645e-09, -7.16623e-23, -7.16716e-23, -3.05168e-08, -2.53922e-09, -2.53922e-09, 4.04009e-22, 4.05171e-22, -3.27044e-26
0.0273, 0.0273, -4.48282e-09, -1.54167e-23, -1.65674e-23, 5.79426e-08, 3.53839e-08, 3.53839e-08, 2.92976e-22, 3.05158e-22, -6.15388e-25
0.03225, 0.03225, -9.32355e-09, 1.1916e-22, 1.19186e-22, 1.30008e-07, 6.30556e-08, 6.30556e-08, -3.421e-22, -3.38367e-22, -8.8397e-25
0.0372, 0.0372, -1.09972e-08, 3.33175e-22, 3.33802e-22, 1.53037e-07, 6.67762e-08, 6.67762e-08, -1.77521e-21, -1.7777e-21, -4.28916e-24
0.04215, 0.04215, -8.64733e-09, 6.27882e-22, 6.25671e-22, 1.13586e-07, 4.21553e-08, 4.21553e-08, -4.26044e-21, -4.24114e-21, -3.8159e-24
0.0471, 0.0471, -2.6957e-09, 9.91104e-22, 9.88677e-22, 1.78006e-08, -5.97285e-09, -5.97285e-09, -7.86785e-21, -7.84945e-21, 8.93087e-25
0.05205, 0.05205, 5.4855e-09, 1.40128e-21, 1.40071e-21, -1.13527e-07, -6.61898e-08, -6.61898e-08, -1.25715e-20, -1.25692e-20, 5.64029e-24
0.057, 0.057, 1.40663e-08, 1.82752e-21, 1.83178e-21, -2.52433e-07, -1.2433e-07, -1.2433e-07, -1.82056e-20, -1.82445e-20, 1.66596e-25
0.06195, 0.06195, 2.12535e-08, 2.24523e-21, 2.24401e-21, -3.71396e-07, -1.67309e-07, -1.67309e-07, -2.45935e-20, -2.45905e-20, -1.94859e-24
0.0669, 0.0669, 2.56801e-08, 2.63749e-21, 2.62996e-21, -4.49416e-07, -1.86065e-07, -1.86065e-07, -3.15639e-20, -3.14843e-20, 1.05264e-23
0.07185, 0.07185, 2.66366e-08, 2.9984e-21, 2.98557e-21, -4.75711e-07, -1.77181e-07, -1.77181e-07, -3.89352e-20, -3.87986e-20, 1.83243e-23
0.0768, 0.0768, 2.41402e-08, 3.37793e-21, 3.36747e-21, -4.50874e-07, -1.43118e-07, -1.43118e-07, -4.70097e-20, -4.68773e-20, 1.47217e-23
0.08175, 0.08175, 1.8867e-08, 3.81667e-21, 3.81621e-21, -3.85872e-07, -9.12994e-08, -9.12994e-08, -5.59539e-20, -5.59052e-20, 1.91486e-23
0.0867, 0.0867, 1.19897e-08, 4.4005e-21, 4.42704e-21, -2.99552e-07, -3.24482e-08, -3.24482e-08, -6.64004e-20, -6.66329e-20, 2.42267e-24
0.09165, 0.09165, 4.96883e-09, 5.22317e-21, 5.25201e-21, -2.15414e-07, 2.13817e-08, 2.13817e-08, -7.92126e-20, -7.95037e-20, -1.43378e-23
0.0966, 0.0966, -6.57807e-10, 6.3968e-21, 6.39909e-21, -1.58357e-07, 5.86667e-08, 5.86667e-08, -9.56703e-20, -9.5685e-20, -7.49888e-23
0.10155, 0.10155, -3.4526e-09, 7.99473e-21, 7.9828e-21, -1.51953e-07, 6.98678e-08, 6.98678e-08, -1.16718e-19, -1.16555e-19, -9.03818e-23
0.1065, 0.1065, -2.20101e-09, 1.02302e-20, 1.02368e-20, -2.166e-07, 4.83028e-08, 4.83028e-08, -1.44902e-19, -1.44925e-19, -6.33009e-23
