# plot-time, real-time,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0075, 0.0075, -1.43151e-09, -2.34163e-23, -2.3203e-23, 8.39731e-08, 7.46186e-08, 7.46186e-08, 5.21438e-23, 5.24399e-23, 1.45831e-25
0.015, 0.015, -1.98685e-09, -1.49798e-23, -1.46051e-23, 1.59202e-07, 1.44976e-07, 1.44976e-07, 1.1747e-23, 1.21697e-23, 1.03514e-25
0.0225, 0.0225, -2.21968e-09, 2.06112e-24, 3.2706e-24, 2.61526e-07, 2.44389e-07, 2.44389e-07, -5.05829e-23, -5.10439e-23, -5.44331e-25
0.03, 0.03, -1.94706e-09, 2.53243e-23, 3.21126e-23, 4.01949e-07, 3.855e-07, 3.855e-07, -1.26749e-22, -1.25591e-22, -1.13717e-24
0.0375, 0.0375, -9.23201e-10, 5.70041e-23, 6.18128e-23, 5.96546e-07, 5.86651e-07, 5.86651e-07, -1.96941e-22, -1.9806e-22, -1.13546e-24
0.045, 0.045, 1.19474e-09, 9.56205e-23, 1.04471e-22, 8.68479e-07, 8.74196e-07, 8.74196e-07, -2.49443e-22, -2.58687e-22, -2.38279e-24
0.0525, 0.0525, 4.89518e-09, 1.51095e-22, 1.57356e-22, 1.25075e-06, 1.28571e-06, 1.28571e-06, -2.80448e-22, -2.96203e-22, -3.2206e-24
0.06, 0.06, 1.08819e-08, 2.20377e-22, 2.23581e-22, 1.78995e-06, 1.87437e-06, 1.87437e-06, -2.73394e-22, -3.07305e-22, 4.58366e-25
0.0675, 0.0675, 2.01738e-08, 2.98282e-22, 3.07965e-22, 2.55138e-06, 2.71503e-06, 2.71503e-06, -2.41322e-22, -3.00152e-22, 6.54689e-24
0.075, 0.075, 3.42473e-08, 4.10362e-22, 4.17842e-22, 3.62595e-06, 3.9124e-06, 3.9124e-06, -1.56253e-22, -2.15936e-22, 6.17791e-24
0.0825, 0.0825, 5.5238e-08, 5.77065e-22, 5.6194e-22, 5.13948e-06, 5.61226e-06, 5.61226e-06, 3.2498e-23, -7.40784e-23, 3.3004e-23
